[141, '28.544813', '77.271059', '207.96']
[142, '28.544813', '77.271059', '207.96']
[143, '28.5448174', '77.2710614', '207.95']
[144, '28.5448174', '77.2710614', '207.95']
[145, '28.5448174', '77.2710614', '207.95']
[146, '28.5448174', '77.2710614', '207.96']
[147, '28.5448174', '77.2710614', '207.96']
[148, '28.5448218', '77.2710638', '207.96']
[149, '28.5448218', '77.2710638', '207.96']
[150, '28.5448218', '77.2710638', '207.96']
[151, '28.5448218', '77.2710638', '207.96']
[152, '28.5448218', '77.2710638', '207.96']
[153, '28.5448259', '77.2710668', '207.96']
[154, '28.5448259', '77.2710668', '207.96']
[155, '28.5448259', '77.2710668', '207.96']
[156, '28.5448259', '77.2710668', '207.96']
[157, '28.5448259', '77.2710668', '207.96']
[158, '28.5448301', '77.2710697', '207.96']
[159, '28.5448301', '77.2710697', '207.96']
[160, '28.5448301', '77.2710697', '207.96']
[161, '28.5448301', '77.2710697', '207.96']
[162, '28.5448301', '77.2710697', '207.96']
[163, '28.5448345', '77.2710729', '207.95']
[164, '28.5448345', '77.2710729', '207.95']
[165, '28.5448345', '77.2710729', '207.95']
[166, '28.5448345', '77.2710729', '207.95']
[167, '28.5448345', '77.2710729', '207.95']
[168, '28.5448385', '77.2710762', '207.95']
[169, '28.5448385', '77.2710762', '207.95']
[170, '28.5448385', '77.2710762', '207.95']
[171, '28.5448385', '77.2710762', '207.96']
[172, '28.5448385', '77.2710762', '207.95']
[173, '28.5448429', '77.2710798', '207.95']
[174, '28.5448429', '77.2710798', '207.95']
[175, '28.5448429', '77.2710798', '207.95']
[176, '28.5448429', '77.2710798', '207.94']
[177, '28.5448429', '77.2710798', '207.95']
[178, '28.544847', '77.2710836', '207.94']
[179, '28.544847', '77.2710836', '207.95']
[180, '28.544847', '77.2710836', '207.95']
[181, '28.544847', '77.2710836', '207.96']
[182, '28.544847', '77.2710836', '207.96']
[183, '28.544851', '77.2710874', '207.95']
[184, '28.544851', '77.2710874', '207.96']
[185, '28.544851', '77.2710874', '207.95']
[186, '28.544851', '77.2710874', '207.95']
[187, '28.544851', '77.2710874', '207.95']
[188, '28.544855', '77.2710915', '207.95']
[189, '28.544855', '77.2710915', '207.95']
[190, '28.544855', '77.2710915', '207.95']
[191, '28.544855', '77.2710915', '207.94']
[192, '28.544855', '77.2710915', '207.94']
[193, '28.5448585', '77.2710958', '207.94']
[194, '28.5448585', '77.2710958', '207.94']
[195, '28.5448585', '77.2710958', '207.94']
[196, '28.5448585', '77.2710958', '207.95']
[197, '28.5448585', '77.2710958', '207.95']
[198, '28.5448618', '77.2711003', '207.94']
[199, '28.5448618', '77.2711003', '207.94']
[200, '28.5448618', '77.2711003', '207.94']
[201, '28.5448618', '77.2711003', '207.95']
[202, '28.5448618', '77.2711003', '207.95']
[203, '28.544865', '77.271105', '207.95']
[204, '28.544865', '77.271105', '207.95']
[205, '28.544865', '77.271105', '207.95']
[206, '28.544865', '77.271105', '207.95']
[207, '28.544865', '77.271105', '207.95']
[208, '28.5448684', '77.2711101', '207.94']
[209, '28.5448684', '77.2711101', '207.94']
[210, '28.5448684', '77.2711101', '207.94']
[211, '28.5448684', '77.2711101', '207.93']
[212, '28.5448684', '77.2711101', '207.93']
[213, '28.5448716', '77.2711153', '207.93']
[214, '28.5448716', '77.2711153', '207.93']
[215, '28.5448716', '77.2711153', '207.93']
[216, '28.5448716', '77.2711153', '207.94']
[217, '28.5448716', '77.2711153', '207.94']
[218, '28.5448744', '77.2711205', '207.94']
[219, '28.5448744', '77.2711205', '207.95']
[220, '28.5448744', '77.2711205', '207.95']
[221, '28.5448744', '77.2711205', '207.95']
[222, '28.5448775', '77.2711256', '207.94']
[223, '28.5448775', '77.2711256', '207.94']
[224, '28.5448775', '77.2711256', '207.94']
[225, '28.5448775', '77.2711256', '207.94']
[226, '28.5448775', '77.2711256', '207.94']
[227, '28.5448775', '77.2711256', '207.94']
[228, '28.54488', '77.2711311', '207.94']
[229, '28.54488', '77.2711311', '207.94']
[230, '28.54488', '77.2711311', '207.93']
[231, '28.54488', '77.2711311', '207.93']
[232, '28.5448827', '77.2711364', '207.93']
[233, '28.5448827', '77.2711364', '207.93']
[234, '28.5448827', '77.2711364', '207.93']
[235, '28.5448827', '77.2711364', '207.93']
[236, '28.5448827', '77.2711364', '207.93']
[237, '28.5448851', '77.2711419', '207.93']
[238, '28.5448851', '77.2711419', '207.92']
[239, '28.5448851', '77.2711419', '207.93']
[240, '28.5448851', '77.2711419', '207.93']
[241, '28.5448851', '77.2711419', '207.93']
[242, '28.544887', '77.2711479', '207.93']
[243, '28.544887', '77.2711479', '207.93']
[244, '28.544887', '77.2711479', '207.93']
[245, '28.544887', '77.2711479', '207.93']
[246, '28.544887', '77.2711479', '207.93']
[247, '28.5448893', '77.2711541', '207.93']
[248, '28.5448893', '77.2711541', '207.93']
[249, '28.5448893', '77.2711541', '207.93']
[250, '28.5448893', '77.2711541', '207.93']
[251, '28.5448893', '77.2711541', '207.93']
[252, '28.5448914', '77.2711601', '207.93']
[253, '28.5448914', '77.2711601', '207.93']
[254, '28.5448914', '77.2711601', '207.92']
[255, '28.5448914', '77.2711601', '207.92']
[256, '28.5448914', '77.2711601', '207.92']
[257, '28.5448936', '77.2711663', '207.92']
[258, '28.5448936', '77.2711663', '207.92']
[259, '28.5448936', '77.2711663', '207.92']
[260, '28.5448936', '77.2711663', '207.92']
[261, '28.5448936', '77.2711663', '207.91']
[262, '28.5448953', '77.2711726', '207.92']
[263, '28.5448953', '77.2711726', '207.92']
[264, '28.5448953', '77.2711726', '207.92']
[265, '28.5448953', '77.2711726', '207.93']
[266, '28.5448953', '77.2711726', '207.93']
[267, '28.5448973', '77.2711793', '207.93']
[268, '28.5448973', '77.2711793', '207.93']
[269, '28.5448973', '77.2711793', '207.93']
[270, '28.5448973', '77.2711793', '207.93']
[271, '28.5448973', '77.2711793', '207.93']
[272, '28.5448987', '77.2711854', '207.94']
[273, '28.5448987', '77.2711854', '207.93']
[274, '28.5448987', '77.2711854', '207.94']
[275, '28.5448987', '77.2711854', '207.94']
[276, '28.5448987', '77.2711854', '207.94']
[277, '28.5448987', '77.2711854', '207.94']
[278, '28.5448999', '77.2711914', '207.94']
[279, '28.5448999', '77.2711914', '207.94']
[280, '28.5448999', '77.2711914', '207.94']
[281, '28.5448999', '77.2711914', '207.94']
[282, '28.5449013', '77.2711974', '207.94']
[283, '28.5449013', '77.2711974', '207.94']
[284, '28.5449013', '77.2711974', '207.94']
[285, '28.5449013', '77.2711974', '207.94']
[286, '28.5449013', '77.2711974', '207.94']
[287, '28.5449023', '77.2712033', '207.94']
[288, '28.5449023', '77.2712033', '207.94']
[289, '28.5449023', '77.2712033', '207.95']
[290, '28.5449023', '77.2712033', '207.95']
[291, '28.5449023', '77.2712033', '207.95']
[292, '28.5449035', '77.2712101', '207.95']
[293, '28.5449035', '77.2712101', '207.95']
